CE_Age,CE_Language,CE_Experties,CE_Total_Handled_Leads,CE_Successful_Leads,C_Language,C_Timeperiod_months,C_Field,C_Times_Call,C_Products_Subscribed,C_Premium_Products_Subscribed,C_Call_On_Same_Topic,C_Default_Premium,Call_Duration_Sec,Converted
36,Hindi,"['Education Insurance', 'Health Insurance']",97,2,Hindi,9,Life Insurance,14.2942063,3,1,0,3,632.998115,0
41,English,"['Home Insurance', 'Health Insurance', 'Education Insurance']",83,5,English,45,Car Insurance,29.51331793,5,4,3,1,361.4908153,0
38,English,"['Life Insurance', 'Car Insurance']",49,2,English,46,Education Insurance,20.61099688,9,3,2,0,603.6206614,0
21,Urdu,['Life Insurance'],34,2,Urdu,6,Health Insurance,30.24054672,18,8,5,0,606.3085685,1
46,Urdu,"['Home Insurance', 'Car Insurance', 'Life Insurance']",84,5,Urdu,40,Home Insurance,31.43688089,10,7,9,3,527.4134415,0
29,Telgu,['Education Insurance'],84,2,Telgu,12,Life Insurance,19.99970714,4,0,0,1,291.7087316,0
44,Hindi,"['Home Insurance', 'Car Insurance', 'Health Insurance']",93,3,Hindi,7,Car Insurance,28.00351083,5,4,2,0,336.7755229,0
47,Telgu,"['Health Insurance', 'Home Insurance', 'Education Insurance']",95,6,Telgu,4,Education Insurance,31.3037266,18,7,6,0,462.3725372,1
37,English,"['Car Insurance', 'Home Insurance']",76,3,English,12,Life Insurance,17.94588449,1,1,0,0,322.2155059,0
46,English,"['Car Insurance', 'Life Insurance', 'Education Insurance']",27,1,English,43,Home Insurance,32.90168673,17,6,7,0,430.6607362,1
27,Marathi,['Life Insurance'],35,2,Marathi,33,Home Insurance,23.48163697,6,2,2,2,450.1791221,0
38,Marathi,"['Health Insurance', 'Education Insurance']",27,1,Marathi,24,Education Insurance,23.94902125,6,4,4,4,344.9263124,0
30,English,"['Car Insurance', 'Life Insurance']",51,1,English,18,Car Insurance,20.1767277,9,2,2,4,358.1596121,0
24,Marathi,['Education Insurance'],27,1,Marathi,33,Car Insurance,22.77577498,8,3,3,1,509.9602072,0
21,Marathi,['Life Insurance'],63,4,Marathi,27,Education Insurance,29.73371756,6,3,2,0,458.6152877,0
36,Hindi,"['Home Insurance', 'Car Insurance']",59,3,Hindi,21,Car Insurance,30.46989207,12,9,9,3,596.4960154,0
32,Hindi,"['Life Insurance', 'Home Insurance']",73,1,Hindi,25,Life Insurance,20.73422049,8,2,3,0,451.4026376,0
23,Marathi,['Life Insurance'],72,5,Marathi,46,Life Insurance,20.83051796,8,4,4,0,486.2435001,1
44,Telgu,"['Education Insurance', 'Health Insurance', 'Home Insurance']",68,5,Telgu,48,Health Insurance,25.71605029,7,2,3,0,461.0241783,0
36,Telgu,"['Education Insurance', 'Car Insurance']",86,1,Telgu,40,Home Insurance,27.10913103,8,4,3,0,310.9491108,0
42,Hindi,"['Home Insurance', 'Education Insurance', 'Health Insurance']",99,8,Hindi,21,Education Insurance,32.80128166,15,5,5,0,352.4529718,1
48,Marathi,"['Car Insurance', 'Health Insurance', 'Education Insurance']",94,4,Marathi,12,Health Insurance,30.37401954,12,9,7,0,405.0372257,1
35,Telgu,"['Education Insurance', 'Health Insurance']",49,1,Telgu,35,Education Insurance,15.68569915,1,0,1,2,546.3871241,0
40,Telgu,"['Education Insurance', 'Life Insurance', 'Health Insurance']",53,2,Telgu,21,Home Insurance,27.20687933,6,2,3,3,402.1071936,0
35,English,"['Car Insurance', 'Home Insurance']",23,1,English,40,Car Insurance,17.18797599,3,1,1,1,399.1027011,0
24,Hindi,['Car Insurance'],35,2,Hindi,22,Education Insurance,10.19964505,4,1,0,2,456.2657479,0
28,Telgu,['Car Insurance'],53,4,Telgu,36,Education Insurance,19.96142474,1,0,1,0,449.4577215,0
45,Marathi,"['Education Insurance', 'Health Insurance', 'Life Insurance']",39,1,Marathi,2,Car Insurance,19.19295687,2,1,0,0,582.9180381,0
20,Telgu,['Health Insurance'],34,2,Telgu,25,Education Insurance,25.74250112,5,4,2,2,212.1333461,0
27,Hindi,['Health Insurance'],67,5,Hindi,9,Car Insurance,26.88552868,7,4,2,1,552.8734891,0
25,English,['Health Insurance'],64,2,English,43,Life Insurance,24.75668406,7,4,3,0,534.5195164,0
39,English,"['Car Insurance', 'Education Insurance']",76,6,English,3,Health Insurance,19.90901165,4,1,1,0,351.3886592,0
42,Marathi,"['Health Insurance', 'Home Insurance', 'Education Insurance']",58,2,Marathi,32,Life Insurance,26.75096596,7,4,4,0,406.9586614,1
31,English,"['Life Insurance', 'Home Insurance']",25,1,English,14,Car Insurance,22.63804466,5,3,2,2,352.3850824,0
42,Urdu,"['Education Insurance', 'Health Insurance', 'Car Insurance']",72,3,Urdu,45,Car Insurance,21.20076576,7,4,2,0,445.8073227,0
27,English,['Car Insurance'],27,1,English,41,Car Insurance,30.29123129,14,7,8,0,497.4061208,1
41,Urdu,"['Life Insurance', 'Education Insurance', 'Car Insurance']",43,1,Urdu,5,Health Insurance,27.90511511,6,4,4,4,505.5706388,0
30,Marathi,"['Health Insurance', 'Car Insurance']",33,2,Marathi,34,Car Insurance,19.55187338,3,0,0,0,497.0829319,0
34,Marathi,"['Car Insurance', 'Life Insurance']",30,2,Marathi,31,Life Insurance,30.82945174,11,8,9,2,155.1974706,1
41,Urdu,"['Home Insurance', 'Life Insurance', 'Car Insurance']",32,2,Urdu,37,Car Insurance,17.22178812,1,1,1,0,332.6449016,0
47,Telgu,"['Home Insurance', 'Education Insurance', 'Health Insurance']",29,1,Telgu,38,Life Insurance,28.94966256,6,3,3,3,445.1501756,0
21,Hindi,['Car Insurance'],52,4,Hindi,40,Health Insurance,24.8061144,5,3,3,3,584.4100903,0
21,Telgu,['Education Insurance'],96,8,Telgu,31,Health Insurance,33.26223053,11,6,7,1,479.6317145,1
42,Hindi,"['Car Insurance', 'Life Insurance', 'Education Insurance']",55,1,Hindi,47,Education Insurance,28.87319122,8,2,2,0,503.5152505,0
35,Urdu,"['Car Insurance', 'Home Insurance']",36,2,Urdu,10,Health Insurance,19.40195537,4,0,0,0,499.9303981,0
47,Hindi,"['Life Insurance', 'Car Insurance', 'Home Insurance']",90,2,Hindi,11,Car Insurance,27.85374208,8,4,2,0,405.0031857,0
24,Telgu,['Education Insurance'],80,3,Telgu,20,Car Insurance,27.38403331,8,3,2,2,502.5275681,0
27,Telgu,['Life Insurance'],21,1,Telgu,0,Home Insurance,28.82758313,8,2,3,4,439.6416403,0
38,Urdu,"['Life Insurance', 'Health Insurance']",36,1,Urdu,45,Education Insurance,33.82058846,17,9,9,1,403.5012359,1
32,English,"['Health Insurance', 'Home Insurance']",61,4,English,38,Car Insurance,20.56607787,5,4,3,3,643.6917421,0
33,Hindi,"['Home Insurance', 'Car Insurance']",46,3,Hindi,2,Life Insurance,29.02927106,8,2,4,4,359.1660552,0
22,Urdu,['Health Insurance'],73,4,Urdu,37,Education Insurance,33.23844648,14,7,5,0,398.9787137,1
39,Hindi,"['Education Insurance', 'Health Insurance']",67,3,Hindi,0,Health Insurance,29.10289662,6,3,4,1,247.4000658,1
21,Hindi,['Health Insurance'],26,1,Hindi,5,Life Insurance,22.93677267,9,4,2,4,428.7959082,0
42,Marathi,"['Education Insurance', 'Car Insurance', 'Life Insurance']",58,3,Marathi,41,Car Insurance,21.16633014,6,4,3,0,354.1380661,0
23,Telgu,['Home Insurance'],63,5,Telgu,20,Car Insurance,22.68266261,5,3,4,0,455.2155297,1
40,Telgu,"['Home Insurance', 'Life Insurance', 'Education Insurance']",67,3,Telgu,48,Education Insurance,31.25750734,14,7,5,0,696.8372145,1
30,Hindi,"['Home Insurance', 'Health Insurance']",46,2,Hindi,12,Home Insurance,29.41717212,5,3,3,0,526.8183182,0
25,Urdu,['Life Insurance'],20,1,Urdu,31,Health Insurance,20.00151325,5,4,2,1,624.9839796,0
49,Hindi,"['Life Insurance', 'Health Insurance', 'Car Insurance']",98,7,Hindi,24,Car Insurance,27.57182401,5,3,3,1,451.6192123,0
45,English,"['Health Insurance', 'Car Insurance', 'Home Insurance']",98,7,English,31,Life Insurance,25.33908344,5,3,2,0,504.3933712,0
26,English,['Life Insurance'],50,3,English,2,Home Insurance,20.34810347,8,3,4,2,530.9003694,1
45,Urdu,"['Home Insurance', 'Car Insurance', 'Health Insurance']",69,2,Urdu,19,Health Insurance,22.13240221,6,2,4,0,576.2223059,1
42,English,"['Health Insurance', 'Education Insurance', 'Car Insurance']",78,5,English,38,Home Insurance,24.55127805,9,4,2,0,482.4428314,0
21,Hindi,['Car Insurance'],89,1,Hindi,42,Education Insurance,28.90960326,7,3,3,4,524.7673205,0
22,English,['Education Insurance'],66,5,English,48,Car Insurance,27.37118119,7,3,2,0,454.9779172,0
32,Urdu,"['Car Insurance', 'Education Insurance']",75,4,Urdu,16,Health Insurance,28.13657376,6,2,2,0,363.8371533,0
27,Telgu,['Home Insurance'],22,1,Telgu,44,Car Insurance,36.30954649,14,9,7,1,515.3183031,1
23,Urdu,['Home Insurance'],45,2,Urdu,14,Car Insurance,17.31087456,3,1,1,2,460.3462057,0
47,Hindi,"['Life Insurance', 'Health Insurance', 'Car Insurance']",33,2,Hindi,26,Car Insurance,25.90330084,7,3,3,1,232.6232473,0
44,Telgu,"['Education Insurance', 'Car Insurance', 'Life Insurance']",91,4,Telgu,37,Life Insurance,20.30960545,9,2,2,0,467.2543416,0
35,English,"['Life Insurance', 'Health Insurance']",31,1,English,8,Education Insurance,17.56588814,2,1,1,1,481.026105,0
44,Telgu,"['Life Insurance', 'Health Insurance', 'Education Insurance']",74,3,Telgu,23,Health Insurance,18.12045373,1,0,0,0,619.9779197,0
38,English,"['Home Insurance', 'Education Insurance']",52,4,English,9,Car Insurance,22.05262917,9,2,3,0,478.4180081,0
20,Hindi,['Life Insurance'],49,3,Hindi,2,Health Insurance,30.67862987,16,6,9,1,494.2861482,1
28,English,['Home Insurance'],28,1,English,34,Health Insurance,21.35032479,5,4,2,1,435.477093,0
28,Telgu,['Home Insurance'],41,3,Telgu,6,Education Insurance,23.1776131,7,3,4,1,459.1728801,1
48,Telgu,"['Health Insurance', 'Life Insurance', 'Home Insurance']",95,1,Telgu,30,Home Insurance,14.64876423,1,1,0,0,699.1235881,0
25,Hindi,['Home Insurance'],51,3,Hindi,3,Home Insurance,26.12865849,6,3,4,0,416.511944,1
35,Urdu,"['Car Insurance', 'Home Insurance']",42,3,Urdu,41,Home Insurance,17.15811317,3,0,1,3,278.015902,0
43,English,"['Life Insurance', 'Home Insurance', 'Car Insurance']",85,5,English,4,Health Insurance,23.86963062,8,4,4,0,487.9266855,1
31,Marathi,"['Life Insurance', 'Home Insurance']",61,2,Marathi,46,Life Insurance,27.20037667,5,4,3,2,249.3124284,0
44,English,"['Car Insurance', 'Life Insurance', 'Health Insurance']",65,5,English,6,Education Insurance,20.32692303,5,2,3,0,484.8701053,0
39,Telgu,"['Life Insurance', 'Health Insurance']",59,3,Telgu,33,Home Insurance,18.58369036,0,1,1,2,475.1100629,0
28,Urdu,['Health Insurance'],27,1,Urdu,16,Car Insurance,25.3512832,5,2,4,3,276.5560113,0
22,Telgu,['Health Insurance'],70,2,Telgu,48,Home Insurance,19.73460195,1,1,0,3,452.2925367,0
39,Urdu,"['Health Insurance', 'Car Insurance']",66,2,Urdu,6,Car Insurance,36.53795857,16,6,9,4,330.3451563,0
36,Marathi,"['Education Insurance', 'Life Insurance']",54,4,Marathi,24,Education Insurance,25.91303708,5,4,3,2,386.0006071,0
25,Marathi,['Education Insurance'],77,2,Marathi,40,Education Insurance,25.3259859,8,3,2,0,389.0992609,0
